hr,mnth,Predicted Y
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,1,6.570921262380484
1,1,6.56805069005608
2,1,6.565180117731677
3,1,6.562309545407272
4,1,6.559438973082869
5,1,6.556568400758465
6,1,6.5536978284340615
7,1,6.550827256109658
8,1,6.547956683785254
9,1,6.54508611146085
10,1,6.542215539136446
11,1,6.539344966812043
12,1,6.536474394487639
13,1,6.5336038221632355
14,1,6.530733249838831
15,1,6.5278626775144275
16,1,6.524992105190024
17,1,6.52212153286562
18,1,6.519250960541217
19,1,6.516380388216813
20,1,6.513509815892409
21,1,6.510639243568005
22,1,6.507768671243602
23,1,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
5,2,6.556568400758465
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
19,2,6.516380388216813
20,2,6.513509815892409
21,2,6.510639243568005
22,2,6.507768671243602
23,2,6.504898098919198
0,2,6.570921262380484
1,2,6.56805069005608
2,2,6.565180117731677
3,2,6.562309545407272
4,2,6.559438973082869
6,2,6.5536978284340615
7,2,6.550827256109658
8,2,6.547956683785254
9,2,6.54508611146085
10,2,6.542215539136446
11,2,6.539344966812043
12,2,6.536474394487639
13,2,6.5336038221632355
14,2,6.530733249838831
15,2,6.5278626775144275
16,2,6.524992105190024
17,2,6.52212153286562
18,2,6.519250960541217
